whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
234,cUz,apte,13488,1,I,unique-slp1
235,cft,apte,13494,1,I|VI|X,unique-slp1
236,cezw,apte,13506,1,I,unique-slp1
237,cyu,apte,13540,1,I|X,unique-slp1
238,cyut,apte,13545,1,I,unique-slp1
239,Cad,apte,13563,1,X,unique-slp1
242,Cid,mw,75907,1,VII|IX,unique-slp1
242,Cid,apte,13615,1,VII,unique-slp1
243,Cuw,apte,13638,1,VI|X,unique-slp1
244,Cur,apte,13644,1,I|VI,unique-slp1
245,Cfd,mw,76102,,I|VII,unique-slp1
245,Cfd,apte,13650,1,I|VII|X,unique-slp1
246,jakz,mw,76187,2,II,slp1-shared
246,jakz,apte,13666,1,II,slp1-shared
247,jakz,mw,76187,2,II,slp1-shared
247,jakz,apte,13666,1,II,slp1-shared
249,jan,mw,76735,,I|II|III|IV|X,unique-slp1
249,jan,apte,13721,1,IV,unique-slp1
250,jap,mw,77153,,I,unique-slp1
250,jap,apte,13754,1,I,unique-slp1
251,jam,apte,13760,1,I,unique-slp1
254,jalp,apte,13816,1,I,unique-slp1
255,jas,apte,13833,1,I|IV|X,unique-slp1
258,ji,mw,79180,1,I|IX,slp1-shared
258,ji,apte,13924,1,I,slp1-shared
259,ji,mw,79180,1,I|IX,slp1-shared
259,ji,apte,13924,1,I,slp1-shared
260,jIv,mw,79622,,I,unique-slp1
260,jIv,apte,13980,1,I,unique-slp1
261,jur,mw,80005,1,IV|VI,unique-slp1
261,jur,apte,14008,1,IV|VI,unique-slp1
262,juz,mw,80017,1,I|III|VI,unique-slp1
262,juz,apte,14013,1,I|VI|X,unique-slp1
263,jU,apte,14025,1,I|IX,unique-slp1
264,jUrv,apte,14036,1,I,unique-slp1
265,jf,mw,80120,2,I,slp1-shared
265,jf,apte,14039,1,I,slp1-shared
266,jf,mw,80120,2,I,slp1-shared
266,jf,apte,14039,1,I,slp1-shared
268,jeh,apte,14053,1,I,unique-slp1
269,jYA,mw,80318,1,III|IX,unique-slp1
269,jYA,apte,14069,1,IX,unique-slp1
270,jyA,mw,80523,1,IV|IX,unique-slp1
270,jyA,apte,14089,1,IX,unique-slp1
271,jyut,apte,14103,1,I,unique-slp1
272,jri,apte,14117,1,I|X,unique-slp1
273,jvar,mw,80857,,I,unique-slp1
273,jvar,apte,14118,1,I,unique-slp1
274,jval,mw,80890,,I,unique-slp1
274,jval,apte,14121,1,I,unique-slp1
275,Jaw,apte,14137,1,I,unique-slp1
279,wal,apte,14204,1,I,unique-slp1
280,wIk,apte,14215,1,I,unique-slp1
282,qam,apte,14229,1,I,unique-slp1
284,qI,mw,81442,,I|IV,unique-slp1
284,qI,apte,14257,1,I|IV,unique-slp1
285,qval,apte,14266,1,X,unique-slp1
286,QOk,mw,81523,,I,unique-slp1
286,QOk,apte,14275,1,I,unique-slp1
287,taMs,apte,14279,1,I|X,unique-slp1
288,tak,apte,14280,1,I|II,unique-slp1
289,takz,mw,81602,1,I|II|V,unique-slp1
289,takz,apte,14287,1,I|V,unique-slp1
291,taw,apte,14299,1,I|X,unique-slp1
292,taq,mw,81685,,X,unique-slp1
292,taq,apte,14306,1,X,unique-slp1
293,tan,mw,82226,3,VIII,class
293,tan,apte,14348,1,I|VIII|X,slp1-shared
294,tan,mw,82220,2,IV,class
